Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUG00000007912	14.2182	3.86043	0.655858	881.242	10.8079	3.3217	2.03473	0	3.42726	1.90449	1.82347
ENSELUG00000007913	3.62193	7.180718	6.805241	7.00759	3.858522	13.769106	6.729468	4.41847	1.21319	3.73245	4.99252
ENSELUG00000007914	1.21548	2.922130323631	0.7982658	5.71456	1.4265	8.438033	5.498228	3.923836	0.071713200425891	0.91296100329258	7.03406
ENSELUG00000007915	0.722137	1.17445	0.650043	0.311904	0.751737	0.424934	0.266307	0.215188	0.0872504	0.997211	7.18276
ENSELUG00000007916	1008.41524	1.064493	171.8373	1.474883404337	0.0614289	0.678242	0.190122082	0.0377301	1342.111653	0.34228893	1.89853384
ENSELUG00000007917	1.4283616	0.184094	12.1461000039219	3.7095608636	0.7143556	1.638787	7.383207	0.4376933	0.048991	107.32520286834	1.73124640241812
ENSELUG00000007918	25.8474	29.931	27.9084	78.973806	59.371068	56.38799	100.13879	23.997902	3.00169	64.51199	53.24171
ENSELUG00000007919	1.65505	3.963652	11.21584	17.61696	39.39254	1.943587	0.0873035	0.0666242	0.0234516	0.0712919	24.9759
ENSELUG00000007920	10.59084	11.85834	14.79783	32.51398	9.06045	11.26732	9.75156	2.695509	3.460452	18.086156	41.83995
ENSELUG00000007921	12.9608	22.296	50.0475	23.8808	18.1189	19.8473	33.3761	7.92878	1.61437	68.77	25.5273
ENSELUG00000007922	70.9782	171.077	46.1731	46.2799	46.8748	49.8705	46.5518	11.8054	20.2005	34.3828	85.9027
ENSELUG00000007923	0	0.227604	0	0	0	0	0	0.363926	0	0	0
ENSELUG00000007924	0.281111	0.134049	0.609003	0	0.113265	0.74503	0	0	0	0	0
ENSELUG00000007925	7.69529	2.3254	0.340285	0.300122	0.110768	0.485552	0	0.10397	0	0.22988	0.420679
ENSELUG00000007926	22.1972	0	8.86539	2.78216	1.58174	1.16754	42.0176	0	0	0	14.5588
ENSELUG00000007927	10.7866	39.985905	9.577134	27.874476	8.026522	41.493725	33.751395	5.548266	3.2237892	14.963482	15.229023
ENSELUG00000007928	4.89865	22.6232	35.2709	0.720142	0.331032	3.0276	0.452564	0.0622161	0	58.0736	8.74245
ENSELUG00000007929	3.20614	1.58927	0.476351	275.255	3.35488	1.97769	0.352258	0.116866	0.819924	0.254881	1.21304
ENSELUG00000007930	1.761503	0.8508726	0.5029122	2.238874	0.149577	272.817108	0.1740875	0.16837135	0.5633381	0.262131	3.249493
ENSELUG00000007931	10.9951	18.3782	16.86662	11.198136578	10.40653	13.50652	17.4403	5.261655	4.6312	58.1848	32.6427
ENSELUG00000007932	0	0.227247	0	1.16303	0.0315601	0.675004	0.178738	0.0565677	0	0.061369	0.0543847
ENSELUG00000007933	12.66441	25.03347	7.89966	9.50343	14.39616	5.326624	4.139581	1.397797	1.61167	10.34553	20.06621
ENSELUG00000007934	56.3448	38.608441	40.68377	63.61799	41.438007	59.6967	51.94532	24.60766	41.68098	80.0017	23.70938
ENSELUG00000007935	0.643723	0.456346	0.690445	0.224214	0.558462	0.142026	0	0.077277	0.0219205	0	0.335145
ENSELUG00000007936	27.1298	20.7649	21.8444	37.4305	54.3656	67.4475	43.1751	1.24878	2.03183	6.01881	50.0541
ENSELUG00000007937	2.98096	8.04363	16.1405	4.75118	4.9919	9.15776	9.57328	4.00973	0.323489	43.9496	13.5923
ENSELUG00000007938	0	0.127893	0.463921	0	0	0.119719	0	0	0	0	1.44382
ENSELUG00000007939	5.11143	13.0096	7.56256	7.51237	1.87708	2.25719	0.25805	0.176271	0.25068	1.16375	13.6655
ENSELUG00000007940	21.28419	7.15971	12.087316	38.51678	17.70094	33.94759	109.74501	3.646725	3.874067317	71.515716	40.15201
ENSELUG00000007941	25.9781	23.3779	20.1978	34.8183	23.6172	30.118	46.3553	10.2641	7.96934	65.521	39.4178
ENSELUG00000007942	5.02523	20.0698	6.76682	6.805835	7.57318	6.133663	7.59473	2.74242	0.865965	38.3325	16.673881
ENSELUG00000007943	32.4556	48.3549	48.7849	24.9302	27.0854	22.27131	26.55423	22.31215	23.46361	26.00691	43.5728
ENSELUG00000007944	24.5769	39.8113	43.5479	40.9048	44.9927	47.3097	32.0349	6.77026	2.05231	2.81175	25.3206
ENSELUG00000007945	2.4289383	25.4563	1.03367	1.24695495	1.177439	3.590426	0.291662	0.0955054	0.152095	0.149029	3.451749
ENSELUG00000007946	7.48377	5.5211	7.1866	7.06691	14.3205	0.372181	0.408401	0	4.40697	0	1.28086
ENSELUG00000007947	8.44658112153	18.286024	5.271138	34.753013	24.967322	43.151311	4.886059	7.59736	0.370015	0.4288493	3.15369
ENSELUG00000007949	6.53756	15.3044	4.22691	9.159	21.2426	14.5637	11.8562	4.43376	2.41899	0.494012	70.6615
ENSELUG00000007950	4.18893	27.07705	7.54659	2.540907	1.721046	2.042557	1.995093	0.576709	0.423556	1.269473	4.073761
ENSELUG00000007951	7.28026	7.75149	2.5615900129301	1.81957	2.55739	52.0957	4.7672	8.67444	0.678108	17.2578	27.3327
ENSELUG00000007952	58.0515	45.8915	67.4809	36.4412	66.8008	26.6629	31.7419	16.1591	94.5299	29.6482	35.0847
ENSELUG00000007953	6.34747	9.81089	5.79899	7.0847	7.04481	4.84273	8.39307	3.3916	1.8502	22.5081	19.1738
ENSELUG00000007954	10.4884	13.6564	12.396	14.9673	9.89645	10.8799	18.858	4.09064	4.38001	85.2954	36.5164
ENSELUG00000007955	27.10443	42.54429	37.33575	41.3979	32.02857	36.09376	42.15584	13.3527	8.08613	58.5234	45.038
ENSELUG00000007956	9.28722	7.63369	7.94362	10.75325	8.531608	7.04196	17.91724	4.29011	0.09194450185666	3.399107	4.09854
ENSELUG00000007957	3.88542	19.1367	14.3634	0.276151	0.324304	0.43971	0.882181	13.0371	0	0.57837	2.79886
ENSELUG00000007958	2.87798	5.47285	2.12682	4.29817	9.37645	5.19646	10.1074	1.50023	1.85713	7.3558	5.33423
ENSELUG00000007959	1.9567	1.38475	1.48632	0.545653	0.633677	1.09536	0.576044	0.561463	0.0561651	0.0825818	0.628582
ENSELUG00000007960	0.783243	2.17857	0.533604	2.48355	2.17856	2.19732	2.16459	0.498856	0.350459	4.40115	1.56594
ENSELUG00000007961	0.900311	1.88044	0.440108	0	0	0	0	0.0982359	0	0.10682	0.39113
ENSELUG00000007962	33.317173	0.61734398268	463.66802	0.30012	8.0717624	28.276395	10.379371	24388.0248	1.07798	0.164912	9.818522
ENSELUG00000007963	10.562932625	7.3309328993	4.46498	32.782590253185	15.10505	14.2676600089709	17.950370127174	7.65294200017682	1.096965	2.010213	31.2306500013706
ENSELUG00000007964	180.592	117.331	214.995	204.452	168.014	189.483	346.289	130.349	157.233	62.8733	261.87
ENSELUG00000007965	0	1.999518	0.0103592	0.0807465	0.0135563	0.1291214	0.0810348	0	0	24.2859	2.003005
ENSELUG00000007966	7.51549385	74.92195	17.61567	3.270269	6.00533	3.033976	9.07239567466	0.733894	0.347814854	0.358499	20.5627770134
ENSELUG00000007968	1.80247	0.500948	0.11574	8.94176	4.17417	5.80177	5.18706	1.03774	0.0288648	0.131597	2.77169
ENSELUG00000007969	3.38645	18.56093	1.910564	0.0870886	0.159695	0.13839900472643	0.4336590961	0	0.1705200123675	3.58367	7.188471
ENSELUG00000007970	7.13608	4.06179	4.60917	6.71477	20.0481	5.34971	20.5858	0.648566	0.60626	31.4688	5.86844
ENSELUG00000007971	0.296092	0.339997	0.995317	1.61747	0.0518622	0.0746549	0.1916717	0.0244047	0.0115347	0.873619	2.64252
ENSELUG00000007972	0.435691	2.48649	0.462673	0.121496	0.358342	0.378831	0.122436	0.0803165	0	0	1.13625
ENSELUG00000007973	18.5994999143	19.3356667882	22.64103	71.7662060107157	13.831390169337	40.3286000046669	29.470300700402	7.000381494	11.080617	67.5413	32.03029
ENSELUG00000007974	30.41159	38.80145	39.663	41.947193	45.5121	17.2546	28.6827	26.007018	15.5408091	33.49088	49.5454
ENSELUG00000007975	12.305	23.1038	17.5952	4.07784	6.9780467	9.99863	12.8941	1.91707	0.776829	42.3083	22.369481
ENSELUG00000007976	3.0389717	5.621657	1.907071	1.0511202	0.7350692	14.194506	0.9006638	1.3854247	0.137251	1.49591	7.305045
ENSELUG00000007977	1.39057	3.63843	3.16799	1.06346	0.509953	0.397475	1.07587	0.912115	0.641983	1.00243	1.39019
ENSELUG00000007978	0.557138	0.48608	1.51094	0.955128	1.83688	1.47509	2.9606	0.707804	0.0466941	58.73	92.5072
ENSELUG00000007979	11.13631	25.214903	35.81126	57.93009	18.410407	80.72146	18.47893	17.9553	1.43915	39.8528	32.03466
ENSELUG00000007980	0.582703	0.565705	0.395921	5.02405	0.651572	3.5284	2.50652	0.419085	0.0755029	0.308971	3.07424
ENSELUG00000007981	0.584048	6.28499	0.356071	0	0.238636	0	0	0	0	0	0.22707
ENSELUG00000007982	13.38899	48.0531	8.3898	35.8443	1.85184	5.91051	2.29661	0.0580142	0.247237	5.5665	5.49253
ENSELUG00000007983	3.03541	7.34148	2.21891	0.965071	0.726424	0	0.678122	0	0	1.53437	2.33612
ENSELUG00000007984	22.4917	19.4502	33.9153	30.641	23.9902	32.0178	35.9692	13.2675	10.3986	38.9362	44.5447
ENSELUG00000007985	0.158029	2.16764	0.692121	0.0528543	0.0640927	0.214159	0.0527387	0	0.0519517	3.767967	0.328657
ENSELUG00000007986	10.451	6.999163	4.818282	18.131419	18.242905	7.84029	15.2238	3.24553	6.63507	3.21608	6.84152
ENSELUG00000007987	10.00884	15.640587	11.654385	14.746546	19.863853	17.90942	12.866759	4.970757	8.41458	48.7300704	53.568562
ENSELUG00000007988	3.55521	3.642	2.70902	10.3793164272	7.19965	5.98121	18.53680173551	0.401619	0.173349	1.63781	25.5067
ENSELUG00000007989	1.92414	8.52049	10.2741	17.0283	0.0745988	52.4896	0.0506985	0.0350777	0.348511	28.1809	0.417274
ENSELUG00000007990	55.65292	114.41536	141.038	69.39971	74.26672	55.93653	105.89402	39.684388	13.8465	55.4072	87.8125
ENSELUG00000007991	2.31667	0.404498	0	2.19905	0.367376	2.57956	7.73949	0	0	0	3.3981
ENSELUG00000007992	25.8844	26.1507	28.2482	28.2882	14.0746	30.9285	24.8426	28.164	9.09864	42.3383	25.5896
ENSELUG00000007993	2.706829	1.710126	0.155486	2.70881	2.394977	3.189705	21.38573	0.526457	0	0	0.959289
ENSELUG00000007994	10.6694	91.9091	30.4972	0.669383	17.7801	0.647227	3.29484	23.7663	0.0545553	1.94774	19.6088
ENSELUG00000007995	0.902386	5.27272	4.24897	0.297143	0.351646	0.180997	0.430678	0.0472682	0.0223472	2.51004	3.01313
ENSELUG00000007996	47.5392	59.6612	99.8346	67.1658	73.2446	48.8198	85.6536	25.2454	34.7865	99.9989	87.8847
ENSELUG00000007997	1.2156	2.11394	0.729249	0.743208	0.560945	22.3356202	1.18842	0.2502753	0.235327	315.42409	5.714642
ENSELUG00000007998	0.6658476	1.72466266303	0.967064	43.99016	0.0376598	0.0766494	0.0169788	0.0118131	0.0167524	0.30481	11.0893246
ENSELUG00000007999	750.961	1261.73	3744.5	3355.16	1013.36	677.349	3340.57	3641.16	205.303	4241.33	2850.02
