transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009780.1	1.61065	3.44134	0.518152	1.39287	18.0596	4.7549	0.427091	0.248247	0	1.85591	35.95
ENSELUT00000009781.1	0.948819	14.0897	0.69866	0.335123	0.0351241	0.304546	0.0954421	0	0	0.0714888	0.719998
ENSELUT00000009782.1	0	0	0	0	0	0	0	0	0	0	0
ENSELUT00000009783.1	22.8066	68.3514	46.4619	66.0546	68.9593	60.6645	30.6792	1.21875	4.5979	62.9153	33.4815
ENSELUT00000009784.1	0	0.492779	0.105895	0.0596607	0.0435264	0.0944664	0	0	0	0	0
ENSELUT00000009785.1	0.436988	1.59254	0.167147	0.783946	0.693471	0.422448	1.52973	0.287945	0.0793288	1.40584	4.33234
ENSELUT00000009786.1	0	0	0	0	0	0	0	0	0	0	0
ENSELUT00000009787.1	1.7979	3.17823	1.49036	0.0826932	0	0	0	0	0	3.2387	2.96439
ENSELUT00000009788.1	2.9353	13.4362	5.85639	3.83945	2.40003	4.19901	4.37778	3.05384	0.235233	6.04712	5.24929
ENSELUT00000009789.1	34.3994	59.4824	39.4675	36.708	42.1495	33.9664	40.0705	11.9524	23.3343	29.0103	80.7948
ENSELUT00000009790.1	2.78046	5.88493	3.30209	0.7445	3.34084	2.75979	0.338466	0.0566036	0.0805999	0.36825	1.72329
ENSELUT00000009791.1	5.61374	11.3742	2.97572	5.30376	5.00635	5.39308	7.69237	2.97558	1.54895	4.12289	14.3023
ENSELUT00000009792.1	0	0	0	0.64422	0	0	0.582581	0	0	0	0
ENSELUT00000009793.1	0	0.241247	0.0530166	0	0	0	0	0	0	0	0.650003
ENSELUT00000009794.1	0.163962	0	0.244005	2.70703	0.0665944	0	1.46195	0	0	0	0.221314
ENSELUT00000009795.1	2.22668	5.90137	3.06016	2.85548	2.27439	10.216	1.81576	2.39991	0.586711	1.32392	9.06898
ENSELUT00000009796.1	0	0	0	0	0	0	0	0	0	0	0
ENSELUT00000009797.1	4.1805	9.0282	4.89584	8.13651	4.59823	8.58114	8.95336	4.1326	1.54655	5.22147	12.6397
ENSELUT00000009798.1	3.88553	4.36972	4.40081	2.83595	10.5997	1.61849	4.4598	0.569712	0.189665	0.536899	2.47011
ENSELUT00000009799.1	0	0.944675	0.477473	0	0.361309	0	0	0	0.607509	0.924247	2.20903
