Gene stable ID	Transcript stable ID
ENSAMXG00000000446	ENSAMXT00000000449
ENSAMXG00000000447	ENSAMXT00000000456
ENSAMXG00000000448	ENSAMXT00000000452
ENSAMXG00000000449	ENSAMXT00000000457
ENSAMXG00000000450	ENSAMXT00000000458
ENSAMXG00000000451	ENSAMXT00000000454
ENSAMXG00000000452	ENSAMXT00000000455
ENSAMXG00000000453	ENSAMXT00000000461
ENSAMXG00000000454	ENSAMXT00000000460
ENSAMXG00000000455	ENSAMXT00000000465
ENSAMXG00000000456	ENSAMXT00000000464
ENSAMXG00000000457	ENSAMXT00000000471
ENSAMXG00000000458	ENSAMXT00000000476
ENSAMXG00000000459	ENSAMXT00000000462
ENSAMXG00000000460	ENSAMXT00000000463
ENSAMXG00000000461	ENSAMXT00000000467
ENSAMXG00000000462	ENSAMXT00000000466
ENSAMXG00000000463	ENSAMXT00000000469
ENSAMXG00000000464	ENSAMXT00000000468
ENSAMXG00000000465	ENSAMXT00000000470
ENSAMXG00000000466	ENSAMXT00000000474
ENSAMXG00000000467	ENSAMXT00000000480
ENSAMXG00000000468	ENSAMXT00000000477
ENSAMXG00000000469	ENSAMXT00000000472
ENSAMXG00000000470	ENSAMXT00000000473
ENSAMXG00000000471	ENSAMXT00000000475
ENSAMXG00000000472	ENSAMXT00000000484
ENSAMXG00000000473	ENSAMXT00000000478
ENSAMXG00000000474	ENSAMXT00000000479
ENSAMXG00000000475	ENSAMXT00000000487
ENSAMXG00000000476	ENSAMXT00000000481
ENSAMXG00000000477	ENSAMXT00000000485
ENSAMXG00000000478	ENSAMXT00000000483
ENSAMXG00000000479	ENSAMXT00000000493
ENSAMXG00000000479	ENSAMXT00000000496
ENSAMXG00000000480	ENSAMXT00000000502
ENSAMXG00000000481	ENSAMXT00000000486
ENSAMXG00000000482	ENSAMXT00000000489
ENSAMXG00000000483	ENSAMXT00000000494
ENSAMXG00000000484	ENSAMXT00000000488
ENSAMXG00000000485	ENSAMXT00000000495
ENSAMXG00000000486	ENSAMXT00000000490
ENSAMXG00000000487	ENSAMXT00000000491
ENSAMXG00000000488	ENSAMXT00000000498
ENSAMXG00000000489	ENSAMXT00000000497
ENSAMXG00000000490	ENSAMXT00000000499
ENSAMXG00000000491	ENSAMXT00000000511
ENSAMXG00000000492	ENSAMXT00000000512
ENSAMXG00000000493	ENSAMXT00000000506
ENSAMXG00000000494	ENSAMXT00000000501
ENSAMXG00000000495	ENSAMXT00000000505
ENSAMXG00000000496	ENSAMXT00000000500
ENSAMXG00000000497	ENSAMXT00000000503
ENSAMXG00000000498	ENSAMXT00000000508
ENSAMXG00000000499	ENSAMXT00000000507
ENSAMXG00000000500	ENSAMXT00000000504
ENSAMXG00000000501	ENSAMXT00000000509
ENSAMXG00000000502	ENSAMXT00000000525
ENSAMXG00000000503	ENSAMXT00000000510
ENSAMXG00000000504	ENSAMXT00000000517
ENSAMXG00000000505	ENSAMXT00000000513
ENSAMXG00000000506	ENSAMXT00000000515
ENSAMXG00000000507	ENSAMXT00000000518
ENSAMXG00000000508	ENSAMXT00000000529
ENSAMXG00000000509	ENSAMXT00000000527
ENSAMXG00000000510	ENSAMXT00000000514
ENSAMXG00000000511	ENSAMXT00000000516
ENSAMXG00000000512	ENSAMXT00000000519
ENSAMXG00000000513	ENSAMXT00000000523
ENSAMXG00000000514	ENSAMXT00000000520
ENSAMXG00000000515	ENSAMXT00000000524
ENSAMXG00000000516	ENSAMXT00000000521
ENSAMXG00000000517	ENSAMXT00000000522
ENSAMXG00000000518	ENSAMXT00000000526
ENSAMXG00000000519	ENSAMXT00000000528
ENSAMXG00000000520	ENSAMXT00000000530
ENSAMXG00000000521	ENSAMXT00000000531
ENSAMXG00000000522	ENSAMXT00000000532
ENSAMXG00000000523	ENSAMXT00000000533
ENSAMXG00000000524	ENSAMXT00000000534
ENSAMXG00000000525	ENSAMXT00000000544
ENSAMXG00000000526	ENSAMXT00000000542
ENSAMXG00000000526	ENSAMXT00000000543
ENSAMXG00000000527	ENSAMXT00000000540
ENSAMXG00000000528	ENSAMXT00000000536
ENSAMXG00000000529	ENSAMXT00000000535
ENSAMXG00000000530	ENSAMXT00000000537
ENSAMXG00000000531	ENSAMXT00000000538
ENSAMXG00000000532	ENSAMXT00000000539
ENSAMXG00000000533	ENSAMXT00000000541
ENSAMXG00000000534	ENSAMXT00000000555
ENSAMXG00000000534	ENSAMXT00000000557
ENSAMXG00000000535	ENSAMXT00000000545
ENSAMXG00000019251	ENSAMXT00000019822
ENSAMXG00000000537	ENSAMXT00000000546
ENSAMXG00000000538	ENSAMXT00000000547
ENSAMXG00000000539	ENSAMXT00000000548
ENSAMXG00000000540	ENSAMXT00000000549
ENSAMXG00000000541	ENSAMXT00000000550
ENSAMXG00000000542	ENSAMXT00000000551
ENSAMXG00000000543	ENSAMXT00000000553
ENSAMXG00000000544	ENSAMXT00000000552
ENSAMXG00000000545	ENSAMXT00000000556
ENSAMXG00000000546	ENSAMXT00000000554
ENSAMXG00000000547	ENSAMXT00000000570
ENSAMXG00000000548	ENSAMXT00000000580
ENSAMXG00000000548	ENSAMXT00000000581
ENSAMXG00000000549	ENSAMXT00000000560
ENSAMXG00000000550	ENSAMXT00000000559
ENSAMXG00000000551	ENSAMXT00000000561
ENSAMXG00000000552	ENSAMXT00000000565
ENSAMXG00000000553	ENSAMXT00000000562
ENSAMXG00000000554	ENSAMXT00000000564
ENSAMXG00000000555	ENSAMXT00000000563
ENSAMXG00000000556	ENSAMXT00000000566
ENSAMXG00000000557	ENSAMXT00000000589
ENSAMXG00000000557	ENSAMXT00000000590
ENSAMXG00000019240	ENSAMXT00000019813
ENSAMXG00000000559	ENSAMXT00000000568
ENSAMXG00000000560	ENSAMXT00000000569
ENSAMXG00000000561	ENSAMXT00000000571
ENSAMXG00000000562	ENSAMXT00000000575
ENSAMXG00000000563	ENSAMXT00000000577
ENSAMXG00000000564	ENSAMXT00000000572
ENSAMXG00000000565	ENSAMXT00000000573
