Gene stable ID	Transcript stable ID
ENSORLG00000000339	ENSORLT00000000413
ENSORLG00000000340	ENSORLT00000000412
ENSORLG00000000341	ENSORLT00000000414
ENSORLG00000000342	ENSORLT00000000415
ENSORLG00000000343	ENSORLT00000000416
ENSORLG00000000344	ENSORLT00000000417
ENSORLG00000000345	ENSORLT00000000418
ENSORLG00000000346	ENSORLT00000000419
ENSORLG00000000347	ENSORLT00000000420
ENSORLG00000000348	ENSORLT00000000422
ENSORLG00000000348	ENSORLT00000000425
ENSORLG00000000349	ENSORLT00000000421
ENSORLG00000000349	ENSORLT00000000423
ENSORLG00000000350	ENSORLT00000000424
ENSORLG00000000350	ENSORLT00000000426
ENSORLG00000000350	ENSORLT00000000427
ENSORLG00000000351	ENSORLT00000000431
ENSORLG00000000352	ENSORLT00000000428
ENSORLG00000000353	ENSORLT00000000429
ENSORLG00000000354	ENSORLT00000000430
ENSORLG00000000354	ENSORLT00000000432
ENSORLG00000000354	ENSORLT00000000433
ENSORLG00000000355	ENSORLT00000000435
ENSORLG00000000355	ENSORLT00000000438
ENSORLG00000000355	ENSORLT00000000442
ENSORLG00000000356	ENSORLT00000000448
ENSORLG00000000357	ENSORLT00000000434
ENSORLG00000000357	ENSORLT00000000436
ENSORLG00000000358	ENSORLT00000000437
ENSORLG00000000359	ENSORLT00000000440
ENSORLG00000000360	ENSORLT00000000439
ENSORLG00000000361	ENSORLT00000000447
ENSORLG00000000362	ENSORLT00000000441
ENSORLG00000000363	ENSORLT00000000443
ENSORLG00000000363	ENSORLT00000000444
ENSORLG00000000364	ENSORLT00000000450
ENSORLG00000000365	ENSORLT00000000446
ENSORLG00000000365	ENSORLT00000000449
ENSORLG00000000365	ENSORLT00000000453
ENSORLG00000000366	ENSORLT00000000445
ENSORLG00000000367	ENSORLT00000000451
ENSORLG00000000368	ENSORLT00000000452
ENSORLG00000000369	ENSORLT00000000455
ENSORLG00000000370	ENSORLT00000000454
ENSORLG00000000371	ENSORLT00000000456
ENSORLG00000000372	ENSORLT00000000458
ENSORLG00000000373	ENSORLT00000000457
ENSORLG00000000374	ENSORLT00000000459
ENSORLG00000000375	ENSORLT00000000460
ENSORLG00000000376	ENSORLT00000000461
ENSORLG00000000376	ENSORLT00000000462
ENSORLG00000000377	ENSORLT00000000463
ENSORLG00000000378	ENSORLT00000000464
ENSORLG00000000380	ENSORLT00000000466
ENSORLG00000000381	ENSORLT00000000468
ENSORLG00000000381	ENSORLT00000000471
ENSORLG00000000382	ENSORLT00000000469
ENSORLG00000000383	ENSORLT00000000470
ENSORLG00000000384	ENSORLT00000000472
ENSORLG00000000385	ENSORLT00000000477
ENSORLG00000000386	ENSORLT00000000474
ENSORLG00000000387	ENSORLT00000000473
ENSORLG00000000388	ENSORLT00000000476
