Gene stable ID	Transcript stable ID
ENSELUG00000000251	ENSELUT00000009411
ENSELUG00000000251	ENSELUT00000009424
ENSELUG00000000251	ENSELUT00000009439
ENSELUG00000000252	ENSELUT00000009467
ENSELUG00000000253	ENSELUT00000009357
ENSELUG00000000253	ENSELUT00000009374
ENSELUG00000000254	ENSELUT00000009360
ENSELUG00000000255	ENSELUT00000009359
ENSELUG00000000255	ENSELUT00000009370
ENSELUG00000000255	ENSELUT00000009390
ENSELUG00000000255	ENSELUT00000009408
ENSELUG00000000256	ENSELUT00000009176
ENSELUG00000000257	ENSELUT00000009168
ENSELUG00000000257	ENSELUT00000009180
ENSELUG00000000257	ENSELUT00000009213
ENSELUG00000000258	ENSELUT00000009162
ENSELUG00000000259	ENSELUT00000009192
ENSELUG00000000260	ENSELUT00000009155
ENSELUG00000000260	ENSELUT00000009198
ENSELUG00000000260	ENSELUT00000009240
ENSELUG00000000261	ENSELUT00000009118
ENSELUG00000000262	ENSELUT00000009108
ENSELUG00000000263	ENSELUT00000009117
ENSELUG00000000264	ENSELUT00000009173
ENSELUG00000000264	ENSELUT00000009235
ENSELUG00000000265	ENSELUT00000009078
ENSELUG00000000265	ENSELUT00000009093
ENSELUG00000000266	ENSELUT00000008704
ENSELUG00000000267	ENSELUT00000008608
ENSELUG00000000267	ENSELUT00000008636
ENSELUG00000000267	ENSELUT00000008671
ENSELUG00000000268	ENSELUT00000008483
ENSELUG00000000269	ENSELUT00000008525
ENSELUG00000000269	ENSELUT00000008546
ENSELUG00000000269	ENSELUT00000008553
ENSELUG00000000270	ENSELUT00000008401
ENSELUG00000000270	ENSELUT00000008425
ENSELUG00000000270	ENSELUT00000008456
ENSELUG00000000271	ENSELUT00000008337
ENSELUG00000000272	ENSELUT00000008415
ENSELUG00000000272	ENSELUT00000008472
ENSELUG00000000272	ENSELUT00000008484
ENSELUG00000000273	ENSELUT00000008309
ENSELUG00000000273	ENSELUT00000008333
ENSELUG00000000274	ENSELUT00000008284
ENSELUG00000000275	ENSELUT00000008271
ENSELUG00000000276	ENSELUT00000008250
ENSELUG00000000277	ENSELUT00000008231
ENSELUG00000000278	ENSELUT00000008308
ENSELUG00000000278	ENSELUT00000008380
ENSELUG00000000278	ENSELUT00000008399
ENSELUG00000000279	ENSELUT00000008180
ENSELUG00000000279	ENSELUT00000008201
ENSELUG00000000280	ENSELUT00000008171
