Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSMPUG00000000347	67.29	21.29	8.54	3.1	41.94	3.78	2.06
ENSMPUG00000000348	0	0	0.11	0	0	0	53.28
ENSMPUG00000000349	0.22	0	0.43	0	0	0	0
ENSMPUG00000000350	0.31	0	0	0	0	0	0.72
ENSMPUG00000000351	41.26	13.83	19.69	11.68	26.22	7.15	19.14
ENSMPUG00000000352	3.11	1.08	0.2	0.03	0.15	2.61	0.17
ENSMPUG00000000353	0	0	0.76	0.57	12.18	0	0
ENSMPUG00000000354	72.86	40.89	6.29	17.27	104.6	30.69	23.44
ENSMPUG00000000355	13.5	0	0	0	0	0	0
ENSMPUG00000000356	51.05	27.8	39.82	14.23	34.26	47.45	33.93
ENSMPUG00000000357	11.02	5.42	7.69	6.8	12.21	3.9	6.46
ENSMPUG00000000358	13.99	3.24	8.27	4.51	12.95	2.19	17.53
ENSMPUG00000000359	0	0	0	3.07	5.47	0	0
ENSMPUG00000000360	0	0	0.31	0.69	20.2	0	0.26
ENSMPUG00000000361	7.74	9.61	17.15	18.05	28.47	5.01	14.85
ENSMPUG00000000362	0	0	0	0	0.83	0	0
ENSMPUG00000000363	244.77	109.61	70.75	26.95	108.47	60	14.09
ENSMPUG00000000364	63.32	28.03	98.24	39.35	86.92	8.08	127.76
ENSMPUG00000000365	28.43	9.42	8.5	7.8	11.17	6.96	37.3
ENSMPUG00000000366	46.63	10.49	3.98	4.95	0.72	5.25	25.87
ENSMPUG00000000367	0.81	0	0	3.77	7.39	0	0
ENSMPUG00000000368	286.71	23.48	13.16	14.01	10.46	0.5	11.24
ENSMPUG00000000369	0	0	0	0	0	0	0
ENSMPUG00000000370	18.67	6.43	0	0.19	2.31	3.37	0.74
