Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000391	5.97	0.85	0.56	0.11	0.35	4.38	1.45
ENSOCUG00000000392	24.15	6.21	17.27	22.9	18.84	9.51	13.37
ENSOCUG00000000393	0	0.33	0.13	0.13	0.08	0.07	348.29
ENSOCUG00000000397	30.63	5.22	5.58	4.51	2.31	1.72	6.33
ENSOCUG00000000398	40.37	0.01	0.02	0.61	0.21	0.02	1.71
ENSOCUG00000000399	0.15	0.2	0.59	0	0	0.08	3.77
ENSOCUG00000000401	22.3	0.21	0.15	2.84	20.32	0.14	4.87
ENSOCUG00000000402	1.08	0.03	0	0	0.86	0	1.71
ENSOCUG00000000403	10.24	18.13	33.31	10.62	39.55	5.15	9.48
ENSOCUG00000000404	25.62	7.03	14.68	6.21	15.64	6.11	39.73
ENSOCUG00000000405	9.8	2.09	7.64	3.41	8.37	1.87	74.32
ENSOCUG00000000406	6.18	1.69	3.84	2.24	7.69	1.46	288.55
ENSOCUG00000000407	0.2	0.03	0.07	0	0	0.04	0.04
ENSOCUG00000000408	19.09	45.52	36.25	15.13	15.32	7.64	52.57
ENSOCUG00000000409	20.91	123.21	34.29	13.46	262.84	93.42	34.71
ENSOCUG00000000410	19.17	1.86	13.75	19.01	11.97	1.66	12.61
ENSOCUG00000000412	14.58	8.33	16.63	19.46	28.17	6.96	11.43
ENSOCUG00000000416	67.08	21.49	18.14	6.72	49.58	8.89	24.31
ENSOCUG00000000417	0	0	0.17	0	0	0	0.38
ENSOCUG00000000418	2.16	0.21	0.06	0.95	5.01	0.32	0.24
ENSOCUG00000000421	1.65	0.17	0.54	0	0.19	0	0.17
ENSOCUG00000000422	0.6	0.03	0.09	0	0.44	2.24	0.45
ENSOCUG00000000423	1.55	0	57	0.12	0.85	0	0.45
ENSOCUG00000000425	28.53	12.98	39.9	23.38	39.94	17.22	19.64
ENSOCUG00000000426	10.98	3.64	29.15	15.81	16.5	7.03	8.7
ENSOCUG00000000427	0.82	0.61	42.97	17.23	1.11	0.11	28.31
ENSOCUG00000000429	21.6	7.1	12	7.41	13.94	5.54	68.79
ENSOCUG00000000431	44.54	3.38	1.51	1.53	37.81	7.17	39.62
ENSOCUG00000000432	41.28	21.4	78.88	70.62	82.34	22.42	49.43
ENSOCUG00000000435	4.3	6.47	25.33	3.33	19.03	7.86	0.98
ENSOCUG00000000436	0.1	0.14	0.11	0.4	5.19	0	0.1
ENSOCUG00000000437	1.79	3.74	2.07	0.52	10.57	0.99	96.03
ENSOCUG00000000438	0.35	1.62	0.71	3.1	64.93	0.24	2.47
ENSOCUG00000000439	19.92	15.59	22.15	20.97	27.3	19.63	13.34
ENSOCUG00000000440	10.66	0.92	5.3	260.43	21.79	2.65	1.35
ENSOCUG00000000441	0.24	0.12	0.54	1261.15	70.42	1.92	3.5
ENSOCUG00000000442	7.7	5.86	17.37	10.28	15.36	25.17	7.67
ENSOCUG00000000444	5.5	7.52	16.84	24.4	16.02	7.67	12.88
ENSOCUG00000000445	13.39	0	0	0	0	0	0.44
ENSOCUG00000000446	2.74	4.18	27.21	36.48	9.19	2.48	4.34
ENSOCUG00000000448	7.2	0.12	1.34	0.18	0.62	0.14	0.63
